example_id                                                | status  | run_time |
--------------------------------------------------------- | ------- | -------- |
./spec/controllers/projects_controller_spec.rb[1:1:1:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:1:2:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:2:1:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:2:2:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:2:3:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:3:1:1:1] | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:3:1:2:1] | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:3:2:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:4:1:1:1] | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:4:1:2:1] | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:4:2:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:4:2:2]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:4:3:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:5:1:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:5:2:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:5:2:2]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:5:3:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:5:3:2]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:6:1:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:6:2:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:7:1:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:7:2:1]   | unknown |          |
./spec/controllers/projects_controller_spec.rb[1:7:3:1]   | unknown |          |
./spec/features/managing_projects_spec.rb[1:1]            | unknown |          |
./spec/features/managing_projects_spec.rb[1:2]            | unknown |          |
./spec/features/managing_tasks_spec.rb[1:1]               | unknown |          |
./spec/features/managing_tasks_spec.rb[1:2]               | unknown |          |
./spec/features/managing_tasks_spec.rb[1:3]               | unknown |          |
./spec/features/managing_tasks_spec.rb[1:4]               | unknown |          |
./spec/models/project_spec.rb[1:1:1]                      | unknown |          |
./spec/models/project_spec.rb[1:1:2]                      | unknown |          |
./spec/models/project_spec.rb[1:2:1]                      | unknown |          |
./spec/models/project_spec.rb[1:2:2]                      | unknown |          |
./spec/models/project_spec.rb[1:3:1]                      | unknown |          |
./spec/models/task_spec.rb[1:1:1]                         | unknown |          |
./spec/models/task_spec.rb[1:2:1]                         | unknown |          |
